prompt,classname,classidx
dining table,dining table,334
dirt bike,dirt bike,335
dish,dish,336
dish antenna,dish antenna,337
dishrag,dishrag,338
dishtowel,dishtowel,339
dishwasher,dishwasher,340
dishwasher detergent,dishwasher detergent,341
dispenser,dispenser,342
dog,dog,343
dog collar,dog collar,344
doll,doll,345
dollar,dollar,346
dollhouse,dollhouse,347
dolphin,dolphin,348
domestic ass,domestic ass,349
doorknob,doorknob,350
doormat,doormat,351
doughnut,doughnut,352
dove,dove,353
dragonfly,dragonfly,354
drawer,drawer,355
dress,dress,356
dress hat,dress hat,357
dress suit,dress suit,358
dresser,dresser,359
drill,drill,360
drone,drone,361
drum (musical instrument),drum (musical instrument),362
drumstick,drumstick,363
duck,duck,364
duckling,duckling,365
duct tape,duct tape,366
duffel bag,duffel bag,367
dumbbell,dumbbell,368
dumpster,dumpster,369
dustpan,dustpan,370
eagle,eagle,371
earphone,earphone,372
earplug,earplug,373
earring,earring,374
easel,easel,375
eclair,eclair,376
edible corn,edible corn,377
eel,eel,378
egg,egg,379
egg roll,egg roll,380
egg yolk,egg yolk,381
eggbeater,eggbeater,382
eggplant,eggplant,383
elephant,elephant,384
elevator car,elevator car,385
elk,elk,386
envelope,envelope,387
eraser,eraser,388
escargot,escargot,389
eyepatch,eyepatch,390
falcon,falcon,391
fan,fan,392
faucet,faucet,393
fedora,fedora,394
ferret,ferret,395
ferry,ferry,396
fig (fruit),fig (fruit),397
fighter jet,fighter jet,398
figurine,figurine,399
file (tool),file (tool),400
file cabinet,file cabinet,401
fire alarm,fire alarm,402
fire engine,fire engine,403
fire extinguisher,fire extinguisher,404
fire hose,fire hose,405
fireplace,fireplace,406
fireplug,fireplug,407
first aid kit,first aid kit,408
fish,fish,409
fish (food),fish (food),410
fishbowl,fishbowl,411
fishing rod,fishing rod,412
flag,flag,413
flagpole,flagpole,414
flamingo,flamingo,415
flannel,flannel,416
flap,flap,417
flash,flash,418
flashlight,flashlight,419
fleece,fleece,420
flip flop (sandal),flip flop (sandal),421
flipper (footwear),flipper (footwear),422
flower arrangement,flower arrangement,423
flowerpot,flowerpot,424
flute glass,flute glass,425
foal,foal,426
folding chair,folding chair,427
food processor,food processor,428
football (American),football (American),429
football helmet,football helmet,430
footstool,footstool,431
fork,fork,432
forklift,forklift,433
freight car,freight car,434
freshener,freshener,435
frisbee,frisbee,436
frog,frog,437
fruit juice,fruit juice,438
frying pan,frying pan,439
fume hood,fume hood,440
funnel,funnel,441
futon,futon,442
gameboard,gameboard,443
garbage,garbage,444
garbage truck,garbage truck,445
garden hose,garden hose,446
gargle,gargle,447
gargoyle,gargoyle,448
garlic,garlic,449
gasmask,gasmask,450
gazelle,gazelle,451
gelatin,gelatin,452
gemstone,gemstone,453
generator,generator,454
giant panda,giant panda,455
gift wrap,gift wrap,456
ginger,ginger,457
giraffe,giraffe,458
glass (drink container),glass (drink container),459
globe,globe,460
glove,glove,461
goat,goat,462
goggles,goggles,463
goldfish,goldfish,464
golf club,golf club,465
golfcart,golfcart,466
gondola (boat),gondola (boat),467
goose,goose,468
gorilla,gorilla,469
gourd,gourd,470
grape,grape,471
grater,grater,472
gravestone,gravestone,473
gravy boat,gravy boat,474
green bean,green bean,475
green onion,green onion,476
grill,grill,477
grits,grits,478
grizzly,grizzly,479
grocery bag,grocery bag,480
guitar,guitar,481
gull,gull,482
gun,gun,483
hair dryer,hair dryer,484
hairbrush,hairbrush,485
hairnet,hairnet,486
halter top,halter top,487
ham,ham,488
hamburger,hamburger,489
hammer,hammer,490
hammock,hammock,491
hamper,hamper,492
hamster,hamster,493
hand glass,hand glass,494
hand towel,hand towel,495
handbag,handbag,496
handcart,handcart,497
handcuff,handcuff,498
handkerchief,handkerchief,499
handle,handle,500
handsaw,handsaw,501
hardback book,hardback book,502
harmonium,harmonium,503
hat,hat,504
hatbox,hatbox,505
headband,headband,506
headboard,headboard,507
headlight,headlight,508
headscarf,headscarf,509
headset,headset,510
headstall (for horses),headstall (for horses),511
heart,heart,512
heater,heater,513
helicopter,helicopter,514
helmet,helmet,515
heron,heron,516
highchair,highchair,517
hinge,hinge,518
hippopotamus,hippopotamus,519
hockey stick,hockey stick,520
hog,hog,521
honey,honey,522
hook,hook,523
hookah,hookah,524
horned cow,horned cow,525
hornet,hornet,526
horse,horse,527
horse buggy,horse buggy,528
horse carriage,horse carriage,529
hose,hose,530
hot air balloon,hot air balloon,531
hot sauce,hot sauce,532
hotplate,hotplate,533
hourglass,hourglass,534
houseboat,houseboat,535
hummingbird,hummingbird,536
iPod,iPod,537
ice maker,ice maker,538
ice pack,ice pack,539
ice skate,ice skate,540
icecream,icecream,541
identity card,identity card,542
igniter,igniter,543
inhaler,inhaler,544
inkpad,inkpad,545
iron (for clothing),iron (for clothing),546
ironing board,ironing board,547
jacket,jacket,548
jam,jam,549
jar,jar,550
jean,jean,551
jeep,jeep,552
jersey,jersey,553
jet plane,jet plane,554
jewel,jewel,555
jewelry,jewelry,556
joystick,joystick,557
jumpsuit,jumpsuit,558
kayak,kayak,559
keg,keg,560
kennel,kennel,561
kettle,kettle,562
key,key,563
keycard,keycard,564
kilt,kilt,565
kimono,kimono,566
kitchen sink,kitchen sink,567
kitchen table,kitchen table,568
kite,kite,569
kitten,kitten,570
kiwi fruit,kiwi fruit,571
knee pad,knee pad,572
knife,knife,573
knitting needle,knitting needle,574
knob,knob,575
knocker (on a door),knocker (on a door),576
koala,koala,577
lab coat,lab coat,578
ladder,ladder,579
ladle,ladle,580
ladybug,ladybug,581
lamb chop,lamb chop,582
lamb (animal),lamb (animal),583
lamp,lamp,584
lamppost,lamppost,585
lampshade,lampshade,586
lantern,lantern,587
laptop computer,laptop computer,588
lasagna,lasagna,589
latch,latch,590
lawn mower,lawn mower,591
leather,leather,592
legging (clothing),legging (clothing),593
legume,legume,594
lemon,lemon,595
lemonade,lemonade,596
lettuce,lettuce,597
license plate,license plate,598
life buoy,life buoy,599
life jacket,life jacket,600
lightbulb,lightbulb,601
lightning rod,lightning rod,602
lime,lime,603
limousine,limousine,604
lion,lion,605
lip balm,lip balm,606
liquor,liquor,607
lizard,lizard,608
locker,locker,609
log,log,610
lollipop,lollipop,611
loveseat,loveseat,612
machine gun,machine gun,613
magazine,magazine,614
magnet,magnet,615
mail slot,mail slot,616
mailbox (at home),mailbox (at home),617
mallard,mallard,618
mallet,mallet,619
mammoth,mammoth,620
manatee,manatee,621
mandarin orange,mandarin orange,622
manger,manger,623
manhole,manhole,624
map,map,625
marker,marker,626
martini,martini,627
mascot,mascot,628
mashed potato,mashed potato,629
mask,mask,630
mast,mast,631
mat (gym equipment),mat (gym equipment),632
matchbox,matchbox,633
mattress,mattress,634
measuring cup,measuring cup,635
measuring stick,measuring stick,636
meatball,meatball,637
medicine,medicine,638
melon,melon,639
microphone,microphone,640
microscope,microscope,641
microwave oven,microwave oven,642
milestone,milestone,643
milk,milk,644
milk can,milk can,645
milkshake,milkshake,646
minivan,minivan,647
mint candy,mint candy,648
mirror,mirror,649
mitten,mitten,650
mixer (kitchen tool),mixer (kitchen tool),651
money,money,652
monitor (computer equipment) computer monitor,monitor (computer equipment) computer monitor,653
monkey,monkey,654
mop,mop,655
motor,motor,656
motor scooter,motor scooter,657
motor vehicle,motor vehicle,658
motorcycle,motorcycle,659
mound (baseball),mound (baseball),660
mouse (computer equipment),mouse (computer equipment),661
mousepad,mousepad,662
muffin,muffin,663
mug,mug,664
mushroom,mushroom,665
music stool,music stool,666
musical instrument,musical instrument,667
nailfile,nailfile,668
napkin,napkin,669
neckerchief,neckerchief,670
necklace,necklace,671
necktie,necktie,672
needle,needle,673
nest,nest,674
newspaper,newspaper,675
newsstand,newsstand,676
nightshirt,nightshirt,677
notebook,notebook,678
notepad,notepad,679
nut,nut,680
nutcracker,nutcracker,681
oar,oar,682
octopus (animal),octopus (animal),683
octopus (food),octopus (food),684
oil lamp,oil lamp,685
olive oil,olive oil,686
omelet,omelet,687
onion,onion,688
orange (fruit),orange (fruit),689
orange juice,orange juice,690
ostrich,ostrich,691
ottoman,ottoman,692
oven,oven,693
overalls (clothing),overalls (clothing),694
owl,owl,695
pacifier,pacifier,696
packet,packet,697
paddle,paddle,698
padlock,padlock,699
paintbrush,paintbrush,700
painting,painting,701
pajamas,pajamas,702
palette,palette,703
pan (for cooking),pan (for cooking),704
pan (metal container),pan (metal container),705
pancake,pancake,706
papaya,papaya,707
paper plate,paper plate,708
paper towel,paper towel,709
paperback book,paperback book,710
paperweight,paperweight,711
parachute,parachute,712
parakeet,parakeet,713
parasail (sports),parasail (sports),714
parasol,parasol,715
parchment,parchment,716
parka,parka,717
parking meter,parking meter,718
parrot,parrot,719
passenger car (part of a train),passenger car (part of a train),720
passenger ship,passenger ship,721
passport,passport,722
pastry,pastry,723
patty (food),patty (food),724
pea (food),pea (food),725
peach,peach,726
peanut butter,peanut butter,727
pear,pear,728
peeler (tool for fruit and vegetables),peeler (tool for fruit and vegetables),729
pegboard,pegboard,730
pelican,pelican,731
pen,pen,732
pencil,pencil,733
pencil box,pencil box,734
pencil sharpener,pencil sharpener,735
pendulum,pendulum,736
penguin,penguin,737
pennant,pennant,738
penny (coin),penny (coin),739
pepper,pepper,740
pepper mill,pepper mill,741
perfume,perfume,742
persimmon,persimmon,743
person,person,744
pet,pet,745
pew (church bench),pew (church bench),746
phonebook,phonebook,747
phonograph record,phonograph record,748
piano,piano,749
pickle,pickle,750
pickup truck,pickup truck,751
pie,pie,752
pigeon,pigeon,753
piggy bank,piggy bank,754
pillow,pillow,755
pineapple,pineapple,756
pinecone,pinecone,757
ping pong ball,ping pong ball,758
pinwheel,pinwheel,759
pipe,pipe,760
pipe bowl,pipe bowl,761
pirate flag,pirate flag,762
pistol,pistol,763
pita (bread),pita (bread),764
pitcher (vessel for liquid),pitcher (vessel for liquid),765
pitchfork,pitchfork,766
pizza,pizza,767
place mat,place mat,768
plastic bag,plastic bag,769
plate,plate,770
platter,platter,771
playpen,playpen,772
pliers,pliers,773
plow (farm equipment),plow (farm equipment),774
plume,plume,775
pocket watch,pocket watch,776
pocketknife,pocketknife,777
poker (fire stirring tool),poker (fire stirring tool),778
poker chip,poker chip,779
polar bear,polar bear,780
pole,pole,781
police cruiser,police cruiser,782
polo shirt,polo shirt,783
poncho,poncho,784
pony,pony,785
pool table,pool table,786
pop (soda),pop (soda),787
popsicle,popsicle,788
postbox (public),postbox (public),789
postcard,postcard,790
poster,poster,791
pot,pot,792
potato,potato,793
potholder,potholder,794
pottery,pottery,795
pouch,pouch,796
power shovel,power shovel,797
prawn,prawn,798
pretzel,pretzel,799
printer,printer,800
projectile (weapon),projectile (weapon),801
projector,projector,802
propeller,propeller,803
prune,prune,804
pudding,pudding,805
puffer (fish),puffer (fish),806
puffin,puffin,807
pug dog,pug dog,808
pumpkin,pumpkin,809
puncher,puncher,810
puppet,puppet,811
puppy,puppy,812
quesadilla,quesadilla,813
quiche,quiche,814
quilt,quilt,815
rabbit,rabbit,816
race car,race car,817
racket,racket,818
radar,radar,819
radiator,radiator,820
radio receiver,radio receiver,821
radish,radish,822
raft,raft,823
rag doll,rag doll,824
railcar (part of a train),railcar (part of a train),825
raincoat,raincoat,826
ram (animal),ram (animal),827
raspberry,raspberry,828
rat,rat,829
reamer (juicer),reamer (juicer),830
rearview mirror,rearview mirror,831
receipt,receipt,832
recliner,recliner,833
record player,record player,834
reflector,reflector,835
refrigerator,refrigerator,836
remote control,remote control,837
rhinoceros,rhinoceros,838
rib (food),rib (food),839
rifle,rifle,840
ring,ring,841
river boat,river boat,842
road map,road map,843
robe,robe,844
rocking chair,rocking chair,845
rodent,rodent,846
roller skate,roller skate,847
rolling pin,rolling pin,848
root beer,root beer,849
router (computer equipment),router (computer equipment),850
rubber band,rubber band,851
runner (carpet),runner (carpet),852
saddle (on an animal),saddle (on an animal),853
saddle blanket,saddle blanket,854
saddlebag,saddlebag,855
safety pin,safety pin,856
sail,sail,857
salad,salad,858
salad plate,salad plate,859
salami,salami,860
salmon (fish),salmon (fish),861
salmon (food),salmon (food),862
salsa,salsa,863
saltshaker,saltshaker,864
sandal (type of shoe),sandal (type of shoe),865
sandwich,sandwich,866
satchel,satchel,867
saucepan,saucepan,868
saucer,saucer,869
sausage,sausage,870
sawhorse,sawhorse,871
saxophone,saxophone,872
scale (measuring instrument),scale (measuring instrument),873
scarecrow,scarecrow,874
scarf,scarf,875
school bus,school bus,876
scissors,scissors,877
scoreboard,scoreboard,878
scraper,scraper,879
screwdriver,screwdriver,880
scrubbing brush,scrubbing brush,881
sculpture,sculpture,882
seabird,seabird,883
seahorse,seahorse,884
seaplane,seaplane,885
seashell,seashell,886
sewing machine,sewing machine,887
shaker,shaker,888
shampoo,shampoo,889
shark,shark,890
sharpener,sharpener,891
shaver (electric),shaver (electric),892
shaving cream,shaving cream,893
shawl,shawl,894
shears,shears,895
sheep,sheep,896
shepherd dog,shepherd dog,897
sherbert,sherbert,898
shield,shield,899
shirt,shirt,900
shoe,shoe,901
shopping bag,shopping bag,902
shopping cart,shopping cart,903
short pants,short pants,904
shot glass,shot glass,905
shoulder bag,shoulder bag,906
shovel,shovel,907
shower cap,shower cap,908
shower curtain,shower curtain,909
shower head,shower head,910
shredder (for paper),shredder (for paper),911
signboard,signboard,912
silo,silo,913
sink,sink,914
skateboard,skateboard,915
skewer,skewer,916
ski,ski,917
ski boot,ski boot,918
ski parka,ski parka,919
ski pole,ski pole,920
skirt,skirt,921
skullcap,skullcap,922
sled,sled,923
sleeping bag,sleeping bag,924
slide,slide,925
slipper (footwear),slipper (footwear),926
smoothie,smoothie,927
snake,snake,928
snowboard,snowboard,929
snowman,snowman,930
snowmobile,snowmobile,931
soap,soap,932
soccer ball,soccer ball,933
sock,sock,934
sofa,sofa,935
sofa bed,sofa bed,936
softball,softball,937
solar array,solar array,938
sombrero,sombrero,939
soup,soup,940
soup bowl,soup bowl,941
soupspoon,soupspoon,942
soya milk,soya milk,943
space shuttle,space shuttle,944
sparkler (fireworks),sparkler (fireworks),945
spatula,spatula,946
speaker (stero equipment),speaker (stero equipment),947
spear,spear,948
spectacles,spectacles,949
spice rack,spice rack,950
spider,spider,951
sponge,sponge,952
spoon,spoon,953
sportswear,sportswear,954
spotlight,spotlight,955
squid (food),squid (food),956
squirrel,squirrel,957
stagecoach,stagecoach,958
stapler (stapling machine),stapler (stapling machine),959
starfish,starfish,960
statue (sculpture),statue (sculpture),961
steak (food),steak (food),962
steak knife,steak knife,963
steering wheel,steering wheel,964
step stool,step stool,965
stepladder,stepladder,966
stereo (sound system),stereo (sound system),967
stew,stew,968
stirrer,stirrer,969
stirrup,stirrup,970
stool,stool,971
stop sign,stop sign,972
stove,stove,973
strainer,strainer,974
strap,strap,975
straw (for drinking),straw (for drinking),976
strawberry,strawberry,977
street sign,street sign,978
streetlight,streetlight,979
string cheese,string cheese,980
stylus,stylus,981
subwoofer,subwoofer,982
sugar bowl,sugar bowl,983
sugarcane (plant),sugarcane (plant),984
suit (clothing),suit (clothing),985
suitcase,suitcase,986
sunflower,sunflower,987
sunglasses,sunglasses,988
sunhat,sunhat,989
surfboard,surfboard,990
sushi,sushi,991
suspenders,suspenders,992
sweat pants,sweat pants,993
sweatband,sweatband,994
sweater,sweater,995
sweatshirt,sweatshirt,996
sweet potato,sweet potato,997
swimsuit,swimsuit,998
sword,sword,999
syringe,syringe,1000
table,table,1001
table tennis table,table tennis table,1002
table lamp,table lamp,1003
tablecloth,tablecloth,1004
tachometer,tachometer,1005
taco,taco,1006
tag,tag,1007
taillight,taillight,1008
tambourine,tambourine,1009
tank (storage vessel),tank (storage vessel),1010
tank top (clothing),tank top (clothing),1011
tape (sticky cloth or paper),tape (sticky cloth or paper),1012
tape measure,tape measure,1013
tapestry,tapestry,1014
tarp,tarp,1015
tartan,tartan,1016
tassel,tassel,1017
teacup,teacup,1018
teakettle,teakettle,1019
teapot,teapot,1020
teddy bear,teddy bear,1021
telephone,telephone,1022
telephone booth,telephone booth,1023
telephone pole,telephone pole,1024
telephoto lens,telephoto lens,1025
television camera,television camera,1026
television set,television set,1027
tennis ball,tennis ball,1028
tennis racket,tennis racket,1029
tequila,tequila,1030
thermometer,thermometer,1031
thermos bottle,thermos bottle,1032
thermostat,thermostat,1033
thimble,thimble,1034
thread,thread,1035
thumbtack,thumbtack,1036
tiara,tiara,1037
tiger,tiger,1038
tights (clothing),tights (clothing),1039
timer,timer,1040
tinfoil,tinfoil,1041
tinsel,tinsel,1042
tissue paper,tissue paper,1043
toast (food),toast (food),1044
toaster,toaster,1045
toaster oven,toaster oven,1046
tobacco pipe,tobacco pipe,1047
toilet,toilet,1048
toilet tissue,toilet tissue,1049
tomato,tomato,1050
tongs,tongs,1051
toolbox,toolbox,1052
toothbrush,toothbrush,1053
toothpaste,toothpaste,1054
toothpick,toothpick,1055
tortilla,tortilla,1056
tote bag,tote bag,1057
tow truck,tow truck,1058
towel,towel,1059
towel rack,towel rack,1060
toy,toy,1061
tractor (farm equipment),tractor (farm equipment),1062
traffic light,traffic light,1063
trailer truck,trailer truck,1064
train (railroad vehicle),train (railroad vehicle),1065
trampoline,trampoline,1066
trash can,trash can,1067
tray,tray,1068
trench coat,trench coat,1069
triangle (musical instrument),triangle (musical instrument),1070
tricycle,tricycle,1071
tripod,tripod,1072
trophy cup,trophy cup,1073
trousers,trousers,1074
truck,truck,1075
truffle (chocolate),truffle (chocolate),1076
trunk,trunk,1077
turban,turban,1078
turkey (food),turkey (food),1079
turnip,turnip,1080
turtle,turtle,1081
turtleneck (clothing),turtleneck (clothing),1082
tux,tux,1083
typewriter,typewriter,1084
umbrella,umbrella,1085
underdrawers,underdrawers,1086
underwear,underwear,1087
unicycle,unicycle,1088
urinal,urinal,1089
urn,urn,1090
vacuum cleaner,vacuum cleaner,1091
vase,vase,1092
veil,veil,1093
vending machine,vending machine,1094
vent,vent,1095
vest,vest,1096
videotape,videotape,1097
vinegar,vinegar,1098
violin,violin,1099
visor,visor,1100
vodka,vodka,1101
volleyball,volleyball,1102
vulture,vulture,1103
waffle,waffle,1104
waffle iron,waffle iron,1105
wagon,wagon,1106
wagon wheel,wagon wheel,1107
walking cane,walking cane,1108
walking stick,walking stick,1109
wall clock,wall clock,1110
wall socket,wall socket,1111
wallet,wallet,1112
walrus,walrus,1113
wardrobe,wardrobe,1114
washbasin,washbasin,1115
watch,watch,1116
water bottle,water bottle,1117
water cooler,water cooler,1118
water faucet,water faucet,1119
water gun,water gun,1120
water heater,water heater,1121
water jug,water jug,1122
water scooter,water scooter,1123
water ski,water ski,1124
water tower,water tower,1125
watering can,watering can,1126
watermelon,watermelon,1127
weathervane,weathervane,1128
webcam,webcam,1129
wedding cake,wedding cake,1130
wedding ring,wedding ring,1131
wet suit,wet suit,1132
wheel,wheel,1133
wheelchair,wheelchair,1134
whipped cream,whipped cream,1135
wig,wig,1136
wind chime,wind chime,1137
windmill,windmill,1138
window box (for plants),window box (for plants),1139
windsock,windsock,1140
wine bottle,wine bottle,1141
wine bucket,wine bucket,1142
wineglass,wineglass,1143
wok,wok,1144
wolf,wolf,1145
wooden leg,wooden leg,1146
wooden spoon,wooden spoon,1147
wreath,wreath,1148
wrench,wrench,1149
wristband,wristband,1150
wristlet,wristlet,1151
yacht,yacht,1152
yogurt,yogurt,1153
zebra,zebra,1154
zucchini,zucchini,1155
